Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participantIdentification/name;name;Nome do participante do Open Banking.;Texto;120;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participantIdentification/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/onlineRate;onlineRate;Taxa disponibilizada (taxa online) pelas instituições no formato D+2 (valor U$ 100.000-operações cambio pronto) separado por moeda dólar e euro compra e venda PF/PJ.<br><ul><li>Não entra operações de cambio futuro, ACC/ACE, futuros, trava</li><li>Deve ser adicionado um timestamp no momento da consulta no formato hh:mm:ss</li><li>Adicionar disclaimer informando que a taxa apresentada é somente informativa, para a contratação de uma operação, deverá ser consultado o canal correspondente de cada instituição</li></ul>;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/onlineRate/values;values;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;"[{""foreignCurrency""=>""USD"", ""deliveryForeignCurrency""=>""ESPECIE"", ""transactionType""=>""COMPRA"", ""targetAudience""=>""PF"", ""value""=>""5.5023""}, {""foreignCurrency""=>""EUR"", ""deliveryForeignCurrency""=>""CARTAO_PRE_PAGO"", ""transactionType""=>""VENDA"", ""targetAudience""=>""PJ"", ""value""=>""2.7045""}]"
/data/onlineRate/values/foreignCurrency;foreignCurrency;"É a moeda estrangeira, segundo modelo ISO 4217. (Vide Enum)
- USD
- EUR";Texto;3;Obrigatório;;"USD 
EUR";1;1;"";Não permitido;string;USD
/data/onlineRate/values/deliveryForeignCurrency;deliveryForeignCurrency;A classificação do tipo de operação, conforme a circular BCB nº 3690 de 16/12/2013. (Vide Enum)<br><ul><li>ESPECIE</li><li>CARTAO_PRE_PAGO</li><li>TELETRANSMISSAO_SWIFT</li></ul>;Texto;21;Obrigatório;;"ESPECIE 
CARTAO_PRE_PAGO 
TELETRANSMISSAO_SWIFT";1;1;"";Não permitido;string;CARTAO_PRE_PAGO
/data/onlineRate/values/transactionType;transactionType;"Determina se o Banco está comprando ou vendendo a moeda estrangeira nas operações
spot,  que se liquidam em até dois dias (não aplica-se a operações futuras. (Vide Enum)
- Compra
- Venda";Texto;6;Obrigatório;;"COMPRA 
VENDA";1;1;"";Não permitido;string;COMPRA
/data/onlineRate/values/targetAudience;targetAudience;Público alvo (ou PF ou PJ).;Texto;2;Opcional;;"PF 
PJ";0;1;"";Não permitido;string;PF
/data/onlineRate/values/value;value;Valor da operação.;Texto;7;Obrigatório;^\d{1}\.\d{1,5}$;;1;1;"";Não permitido;string;5.5023
/data/onlineRate/timestamp;timestamp;Timestamp do momento da consulta;Date Hora;;Obrigatório;;;1;1;"";Não permitido;string;2017-07-21T17:32:28Z
/data/onlineRate/disclaimer;disclaimer;Disclaimer informando que a taxa apresentada é somente informativa, para a contratação de uma operação, deverá ser consultado o canal correspondente de cada instituição.;Texto;;Obrigatório;;;1;1;"";Não permitido;string;Informamos que esta taxa é estimada e exclusiva para fins de Open Finance,  não sendo válida para a contratação de operações de câmbio. Para obter a taxa para fechamento do câmbio, pedimos consultar os canais disponíveis para contratação.
